[2020/7/27 上午11:38:32] [2088] [WORKER_STARTUP] -> port: 5000
[2020/7/27 上午11:38:46] [2088] [RES_DIR] -> D:\ +5ms
[2020/7/27 上午11:38:46] [2088] [RES_FILE] -> d:\develop\nicest\public\favicon.ico +2ms
[2020/7/27 上午11:38:59] [2088] [RES_DIR] -> D:\ +2ms
[2020/7/27 上午11:38:59] [2088] [RES_FILE] -> d:\develop\nicest\public\favicon.ico +0ms
[2020/7/27 上午11:39:09] [2088] [RES_DIR] -> D:\develop\ +0ms
[2020/7/27 上午11:39:14] [2088] [RES_DIR] -> D:\develop\nicest\ +1ms
[2020/7/27 上午11:39:18] [2088] [RES_FILE] -> D:\develop\nicest\.gitignore +1ms
[2020/7/27 上午11:39:21] [2088] [RES_DIR] -> D:\develop\nicest\.github\ +0ms
[2020/7/27 上午11:39:22] [2088] [RES_DIR] -> D:\develop\nicest\.github\workflows\ +1ms
[2020/7/27 上午11:39:23] [2088] [RES_FILE] -> D:\develop\nicest\.github\workflows\main.yml +1ms
